rank;title;platform;playtime_hours;playtime_is_minimum;playtime_original;rating;release_year;genre;game_url;cover_url;cover_source_url
11;League of Legends;PC;5000;FALSE;5000;9,4;2009;MOBA;https://www.igdb.com/games/league-of-legends;https://cdn2.steamgriddb.com/grid/cf29ee336b07c0572c810f62f5543525.png;https://www.steamgriddb.com/search/grids?term=League%20of%20Legends
12;Mario Kart DS;Nintendo DS;45;FALSE;45;9,4;2005;Racing;https://www.igdb.com/games/mario-kart-ds;https://cdn2.steamgriddb.com/grid/3eed6d27b0b2dd008c1be88cce8245fc.png;https://www.steamgriddb.com/search/grids?term=Mario%20Kart%20DS
13;Mario Kart World;Nintendo Switch 2;200;FALSE;200;9,4;2025;Racing;https://www.igdb.com/games/mario-kart-world;https://cdn2.steamgriddb.com/grid/c2526ac91cf2dba8f8b1b58935c7597c.png;https://www.steamgriddb.com/search/grids?term=Mario%20Kart%20World
14;Hearthstone;PC;15000;FALSE;15000;9,1;2014;Card & Board Game;https://www.igdb.com/games/hearthstone;https://cdn2.steamgriddb.com/grid/f30259f76102eefd8b482ee4b68b1ef7.png;https://www.steamgriddb.com/search/grids?term=Hearthstone
15;Kingdom Hearts II;PlayStation 2;15;FALSE;15;9,1;2005;Role-playing (RPG);https://www.igdb.com/games/kingdom-hearts-ii;https://cdn2.steamgriddb.com/grid/4de0f7455c14e8aee7baa617ea72c6a3.png;https://www.steamgriddb.com/search/grids?term=Kingdom%20Hearts%20II
16;Slay the Spire 2;PC;100;FALSE;100;9,1;2026;Card & Board Game;https://www.igdb.com/games/slay-the-spire-ii;https://cdn2.steamgriddb.com/grid/3b8a2395c9d71ba8fd80df1c4e02d4d4.png;https://www.steamgriddb.com/search/grids?term=Slay%20the%20Spire%20II
17;Ratchet & Clank: Size Matters;PSP;50;FALSE;50;9;2007;Platform / Adventure;https://www.igdb.com/games/ratchet-clank-size-matters;https://cdn2.steamgriddb.com/grid/0d98926befdf0c51782d5abe931165ac.png;https://www.steamgriddb.com/search/grids?term=Ratchet%20and%20Clank%20Size%20Matters
18;Need for Speed: Underground;PC;100;FALSE;100;9;2003;Racing;https://www.igdb.com/games/need-for-speed-underground;https://cdn2.steamgriddb.com/grid/0959494b92b81147796ce901ea4f9927.png;https://www.steamgriddb.com/search/grids?term=Need%20for%20Speed%20Underground
19;Need for Speed: Underground 2;PC;60;FALSE;60;8,9;2004;Racing;https://www.igdb.com/games/need-for-speed-underground-2;https://cdn2.steamgriddb.com/grid/8e4374a54f3a61fa403d8d70c99bca08.png;https://www.steamgriddb.com/search/grids?term=Need%20for%20Speed%20Underground%202
20;Dragon Quest IX: Sentinels of the Starry Skies;Nintendo DS;100;FALSE;100;8,5;2009;Role-playing (RPG);https://www.igdb.com/games/dragon-quest-ix-sentinels-of-the-starry-skies;https://cdn2.steamgriddb.com/grid/06bbab2c4235d22de7f79faf7045cf9d.png;https://www.steamgriddb.com/search/grids?term=Dragon%20Quest%20IX%20Sentinels%20of%20the%20Starry%20Skies
21;The Legend of Zelda: A Link Between Worlds;Nintendo 3DS;15;FALSE;15;8,5;2013;Adventure;https://www.igdb.com/games/the-legend-of-zelda-a-link-between-worlds;https://cdn2.steamgriddb.com/grid/6e2376385359dc8bb6ee14e594e924d3.png;https://www.steamgriddb.com/search/grids?term=The%20Legend%20of%20Zelda%20A%20Link%20Between%20Worlds
22;Sonic Advance 3;Game Boy Advance;25;FALSE;25;8,4;2004;Platform;https://www.igdb.com/games/sonic-advance-3;https://cdn2.steamgriddb.com/grid/8cf0d40421ea59393eb9324a2c0713f5.png;https://www.steamgriddb.com/search/grids?term=Sonic%20Advance%203
23;Patapon 2;PSP;40;FALSE;40;8,4;2008;Music / Strategy;https://www.igdb.com/games/patapon-2;https://cdn2.steamgriddb.com/grid/1bf68077045b86e13eae646eeb1cbe10.png;https://www.steamgriddb.com/search/grids?term=Patapon%202
24;MotorStorm: Arctic Edge;PSP;30;FALSE;30;8,3;2009;Racing;https://www.igdb.com/games/motorstorm-arctic-edge;https://cdn2.steamgriddb.com/grid/ed7b30e31263ee128e772afef5159a3a.png;https://www.steamgriddb.com/search/grids?term=MotorStorm%20Arctic%20Edge
25;The Legend of Zelda: The Minish Cap;Game Boy Advance;10;FALSE;10;8,3;2004;Adventure;https://www.igdb.com/games/the-legend-of-zelda-the-minish-cap;https://cdn2.steamgriddb.com/grid/a687f78b9842c87225e74921765feb1b.png;https://www.steamgriddb.com/search/grids?term=The%20Legend%20of%20Zelda%20The%20Minish%20Cap
26;The Legend of Zelda: Tears of the Kingdom;Nintendo Switch;40;FALSE;40;8,3;2023;Adventure;https://www.igdb.com/games/the-legend-of-zelda-tears-of-the-kingdom;https://cdn2.steamgriddb.com/grid/ae758fbcbd5bd841516c53b3c08ebc6f.png;https://www.steamgriddb.com/search/grids?term=The%20Legend%20of%20Zelda%20Tears%20of%20the%20Kingdom
27;Patapon;PSP;20;FALSE;20;8,3;2007;Music / Strategy;https://www.igdb.com/games/patapon;https://cdn2.steamgriddb.com/grid/002cfd451acfee03db872d0d6a7c82d7.png;https://www.steamgriddb.com/search/grids?term=Patapon
28;Pokémon Mystery Dungeon: Rescue Team DX;Nintendo Switch;20;FALSE;20;8,2;2020;Role-playing (RPG);https://www.igdb.com/games/pokemon-mystery-dungeon-rescue-team-dx;https://cdn2.steamgriddb.com/grid/b43e49b1fc20ff9f2658bfcc9bcd8586.png;https://www.steamgriddb.com/search/grids?term=Pokemon%20Mystery%20Dungeon%20Rescue%20Team%20DX
